name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Akyumak,433,Valid,"Iron, IVA",50000,Fell,01/01/1981 12:00:00 AM,39.916670,42.816670,"(39.91667, 42.81667)"
Al Rais,446,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,24.416670,39.516670,"(24.41667, 39.51667)"
Al Zarnkh,447,Valid,LL5,700,Fell,01/01/2001 12:00:00 AM,13.660330,28.960000,"(13.66033, 28.96)"
Alais,448,Valid,CI1,6000,Fell,01/01/1806 12:00:00 AM,44.116670,4.083330,"(44.11667, 4.08333)"
Albareto,453,Valid,L/LL4,2000,Fell,01/01/1766 12:00:00 AM,44.650000,11.016670,"(44.65, 11.01667)"
Alberta,454,Valid,L,625,Fell,01/01/1949 12:00:00 AM,2.000000,22.666670,"(2.0, 22.66667)"
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,01/01/2002 12:00:00 AM,45.821330,6.015330,"(45.82133, 6.01533)"
Aldsworth,461,Valid,LL5,700,Fell,01/01/1835 12:00:00 AM,51.783330,-1.783330,"(51.78333, -1.78333)"
Aleppo,462,Valid,L6,3200,Fell,01/01/1873 12:00:00 AM,36.233330,37.133330,"(36.23333, 37.13333)"
Alessandria,463,Valid,H5,908,Fell,01/01/1860 12:00:00 AM,44.883330,8.750000,"(44.88333, 8.75)"
Alexandrovsky,465,Valid,H4,9251,Fell,01/01/1900 12:00:00 AM,50.950000,31.816670,"(50.95, 31.81667)"
Alfianello,466,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,45.266670,10.150000,"(45.26667, 10.15)"
Allegan,2276,Valid,H5,32000,Fell,01/01/1899 12:00:00 AM,42.533330,-85.883330,"(42.53333, -85.88333)"
Allende,2278,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,26.966670,-105.316670,"(26.96667, -105.31667)"
Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,01/01/2008 12:00:00 AM,20.745750,32.412750,"(20.74575, 32.41275)"
Alta'ameem,2284,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,35.273330,44.215560,"(35.27333, 44.21556)"
Ambapur Nagla,2290,Valid,H5,6400,Fell,01/01/1895 12:00:00 AM,27.666670,78.250000,"(27.66667, 78.25)"
Andhara,2294,Valid,Stone-uncl,2700,Fell,01/01/1880 12:00:00 AM,26.583330,85.566670,"(26.58333, 85.56667)"
Andover,2295,Valid,L6,3200,Fell,01/01/1898 12:00:00 AM,44.616670,-70.750000,"(44.61667, -70.75)"
Andreevka,2296,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,48.700000,37.500000,"(48.7, 37.5)"
Andura,2298,Valid,H6,17900,Fell,01/01/1939 12:00:00 AM,20.883330,76.866670,"(20.88333, 76.86667)"
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0.000000,0.000000,"(0.0, 0.0)"
Angers,2301,Valid,L6,,Fell,01/01/1822 12:00:00 AM,47.466670,-0.550000,"(47.46667, -0.55)"
Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,01/01/1869 12:00:00 AM,-22.966670,-44.316670,"(-22.96667, -44.31667)"
Ankober,2304,Valid,H4,6500,Fell,01/01/1942 12:00:00 AM,9.533330,39.716670,"(9.53333, 39.71667)"
Anlong,2305,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,25.150000,105.183330,"(25.15, 105.18333)"
Aomori,2313,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,40.810560,140.785560,"(40.81056, 140.78556)"
Appley Bridge,2318,Valid,LL6,15000,Fell,01/01/1914 12:00:00 AM,53.583330,-2.716670,"(53.58333, -2.71667)"
Apt,2320,Valid,L6,3200,Fell,01/01/1803 12:00:00 AM,43.866670,5.383330,"(43.86667, 5.38333)"
Arbol Solo,2325,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,-33.000000,-66.000000,"(-33.0, -66.0)"
Archie,2329,Valid,H6,5070,Fell,01/01/1932 12:00:00 AM,38.500000,-94.300000,"(38.5, -94.3)"
Arroyo Aguiar,2340,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,-31.416670,-60.666670,"(-31.41667, -60.66667)"
Asco,2345,Valid,H6,41,Fell,01/01/1805 12:00:00 AM,42.450000,9.033330,"(42.45, 9.03333)"
Ash Creek,48954,Valid,L6,9500,Fell,01/01/2009 12:00:00 AM,31.805000,-97.010000,"(31.805, -97.01)"
Ashdon,2346,Valid,L6,1300,Fell,01/01/1923 12:00:00 AM,52.050000,0.300000,"(52.05, 0.3)"
Assisi,2353,Valid,H5,2000,Fell,01/01/1886 12:00:00 AM,43.033330,12.550000,"(43.03333, 12.55)"
Atarra,4883,Valid,L4,1280,Fell,01/01/1920 12:00:00 AM,25.254170,80.625000,"(25.25417, 80.625)"
Atemajac,4884,Valid,L6,94.2,Fell,01/01/1896 12:00:00 AM,20.066670,-103.666670,"(20.06667, -103.66667)"
Athens,4885,Valid,LL6,265,Fell,01/01/1933 12:00:00 AM,34.750000,-87.000000,"(34.75, -87.0)"
Atoka,4888,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,34.316670,-96.150000,"(34.31667, -96.15)"
Aubres,4893,Valid,Aubrite,800,Fell,01/01/1836 12:00:00 AM,44.383330,5.166670,"(44.38333, 5.16667)"
Aumale,4899,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,36.166670,3.666670,"(36.16667, 3.66667)"
Aumieres,4900,Valid,L6,2000,Fell,01/01/1842 12:00:00 AM,44.333330,3.233330,"(44.33333, 3.23333)"
Ausson,4903,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,43.083330,0.583330,"(43.08333, 0.58333)"
Avanhandava,4905,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,-21.460280,-49.950830,"(-21.46028, -49.95083)"
Avce,4906,Valid,"Iron, IIAB",1230,Fell,01/01/1908 12:00:00 AM,46.000000,13.500000,"(46.0, 13.5)"
Avilez,4907,Valid,H,146,Fell,01/01/1855 12:00:00 AM,25.000000,-103.500000,"(25.0, -103.5)"
Awere,4910,Valid,L4,134,Fell,01/01/1968 12:00:00 AM,2.716670,32.833330,"(2.71667, 32.83333)"
Aztec,4913,Valid,L6,2830,Fell,01/01/1938 12:00:00 AM,36.800000,-108.000000,"(36.8, -108.0)"
Bachmut,4917,Valid,L6,18000,Fell,01/01/1814 12:00:00 AM,48.600000,38.000000,"(48.6, 38.0)"
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,Fell,01/01/1934 12:00:00 AM,28.483330,78.500000,"(28.48333, 78.5)"
Bald Mountain,4925,Valid,L4,3700,Fell,01/01/1929 12:00:00 AM,35.966670,-82.483330,"(35.96667, -82.48333)"
Baldwyn,4926,Valid,L6,345,Fell,01/01/1922 12:00:00 AM,34.500000,-88.666670,"(34.5, -88.66667)"
Bali,4928,Valid,CV3,1000,Fell,01/01/1907 12:00:00 AM,5.383330,16.383330,"(5.38333, 16.38333)"
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,Fell,01/01/1993 12:00:00 AM,16.666670,101.183330,"(16.66667, 101.18333)"
Bandong,4935,Valid,LL6,11500,Fell,01/01/1871 12:00:00 AM,-6.916670,107.600000,"(-6.91667, 107.6)"
Bansur,4936,Valid,L6,15000,Fell,01/01/1892 12:00:00 AM,27.700000,76.333330,"(27.7, 76.33333)"
Banswal,4937,Valid,L5,14,Fell,01/01/1913 12:00:00 AM,30.400000,78.200000,"(30.4, 78.2)"
Banten,4938,Valid,CM2,629,Fell,01/01/1933 12:00:00 AM,-6.333330,106.000000,"(-6.33333, 106.0)"
Barbotan,4942,Valid,H5,6400,Fell,01/01/1790 12:00:00 AM,43.950000,-0.050000,"(43.95, -0.05)"
Barcelona (stone),4944,Valid,OC,,Fell,01/01/1704 12:00:00 AM,41.366670,2.166670,"(41.36667, 2.16667)"
Barea,4946,Valid,Mesosiderite-A1,3200,Fell,01/01/1842 12:00:00 AM,42.383330,-2.500000,"(42.38333, -2.5)"
Barnaul,4947,Valid,H5,23.2,Fell,01/01/1904 12:00:00 AM,52.733330,84.083330,"(52.73333, 84.08333)"
Barntrup,4948,Valid,LL4,17,Fell,01/01/1886 12:00:00 AM,52.000000,9.100000,"(52.0, 9.1)"
Baroti,4949,Valid,L6,4500,Fell,01/01/1910 12:00:00 AM,31.616670,76.800000,"(31.61667, 76.8)"
Barwell,4954,Valid,L5,44000,Fell,01/01/1965 12:00:00 AM,52.565280,-1.339720,"(52.56528, -1.33972)"
Bassikounou,44876,Valid,H5,29560,Fell,01/01/2006 12:00:00 AM,15.783330,-5.900000,"(15.78333, -5.9)"
Baszkówka,4957,Valid,L5,15500,Fell,01/01/1994 12:00:00 AM,52.033330,20.935830,"(52.03333, 20.93583)"
Bath,4974,Valid,H4,21000,Fell,01/01/1892 12:00:00 AM,45.416670,-98.316670,"(45.41667, -98.31667)"
Bath Furnace,4975,Valid,L6,86000,Fell,01/01/1902 12:00:00 AM,38.250000,-83.750000,"(38.25, -83.75)"
Battle Mountain,56133,Valid,L6,2900,Fell,01/01/2012 12:00:00 AM,40.668130,-117.189130,"(40.66813, -117.18913)"
Bawku,4976,Valid,LL5,1557,Fell,01/01/1989 12:00:00 AM,11.083330,-0.183330,"(11.08333, -0.18333)"
Baxter,4977,Valid,L6,611,Fell,01/01/1916 12:00:00 AM,36.750000,-93.500000,"(36.75, -93.5)"
Beardsley,4984,Valid,H5,16000,Fell,01/01/1929 12:00:00 AM,39.800000,-101.200000,"(39.8, -101.2)"
Beaver Creek,4986,Valid,H5,14000,Fell,01/01/1893 12:00:00 AM,51.166670,-117.333330,"(51.16667, -117.33333)"
Beddgelert,4993,Valid,H5,794,Fell,01/01/1949 12:00:00 AM,53.016670,-4.100000,"(53.01667, -4.1)"
Bells,5005,Valid,C2-ung,375,Fell,01/01/1961 12:00:00 AM,33.600000,-96.466670,"(33.6, -96.46667)"
Belville,5009,Valid,OC,,Fell,01/01/1937 12:00:00 AM,-32.333330,-64.866670,"(-32.33333, -64.86667)"
Benares (a),5011,Valid,LL4,3700,Fell,01/01/1798 12:00:00 AM,25.366670,82.916670,"(25.36667, 82.91667)"
Benguerir,30443,Valid,LL6,25000,Fell,01/01/2004 12:00:00 AM,32.250000,-8.150000,"(32.25, -8.15)"
Beni M'hira,5018,Valid,L6,19000,Fell,01/01/2001 12:00:00 AM,32.866670,10.800000,"(32.86667, 10.8)"
Benld,5021,Valid,H6,1770.5,Fell,01/01/1938 12:00:00 AM,39.083330,-89.150000,"(39.08333, -89.15)"
Benoni,5023,Valid,H6,3880,Fell,01/01/1943 12:00:00 AM,-26.166670,28.416670,"(-26.16667, 28.41667)"
Bensour,5024,Valid,LL6,45000,Fell,01/01/2002 12:00:00 AM,30.000000,-7.000000,"(30.0, -7.0)"
Benton,5026,Valid,LL6,2840,Fell,01/01/1949 12:00:00 AM,45.950000,-67.550000,"(45.95, -67.55)"
Berduc,48975,Valid,L6,270,Fell,01/01/2008 12:00:00 AM,-31.910000,-58.328330,"(-31.91, -58.32833)"
Béréba,5028,Valid,Eucrite-mmict,18000,Fell,01/01/1924 12:00:00 AM,11.650000,-3.650000,"(11.65, -3.65)"
Berlanguillas,5029,Valid,L6,1440,Fell,01/01/1811 12:00:00 AM,41.683330,-3.800000,"(41.68333, -3.8)"
Berthoud,47355,Valid,Eucrite-mmict,960,Fell,01/01/2004 12:00:00 AM,40.305830,-105.023250,"(40.30583, -105.02325)"
Bethlehem,5032,Valid,H,13.9,Fell,01/01/1859 12:00:00 AM,42.533330,-73.833330,"(42.53333, -73.83333)"
Beuste,5034,Valid,L5,2000,Fell,01/01/1859 12:00:00 AM,43.216670,-0.233330,"(43.21667, -0.23333)"
Beyrout,5035,Valid,LL3.8,1100,Fell,01/01/1921 12:00:00 AM,33.883330,35.500000,"(33.88333, 35.5)"
Bhagur,5037,Valid,L6,18,Fell,01/01/1877 12:00:00 AM,20.883330,74.833330,"(20.88333, 74.83333)"
Bhawad,36591,Valid,LL6,678,Fell,01/01/2002 12:00:00 AM,26.508330,73.115280,"(26.50833, 73.11528)"
Bherai,5039,Valid,L6,100,Fell,01/01/1893 12:00:00 AM,20.833330,71.466670,"(20.83333, 71.46667)"
Bhola,5040,Valid,LL3-6,1047,Fell,01/01/1940 12:00:00 AM,22.683330,90.650000,"(22.68333, 90.65)"
Bholghati,5041,Valid,Howardite,2500,Fell,01/01/1905 12:00:00 AM,22.083330,86.900000,"(22.08333, 86.9)"
Bialystok,5042,Valid,Eucrite-pmict,4000,Fell,01/01/1827 12:00:00 AM,53.100000,23.200000,"(53.1, 23.2)"
Bielokrynitschie,5043,Valid,H4,1900,Fell,01/01/1887 12:00:00 AM,50.133330,27.166670,"(50.13333, 27.16667)"
Bilanga,5045,Valid,Diogenite,25000,Fell,01/01/1999 12:00:00 AM,12.450000,-0.083330,"(12.45, -0.08333)"
Binningup,5051,Valid,H5,488.1,Fell,01/01/1984 12:00:00 AM,-33.156390,115.676390,"(-33.15639, 115.67639)"
Birni N'konni,5056,Valid,H4,560,Fell,01/01/1923 12:00:00 AM,13.766670,5.300000,"(13.76667, 5.3)"
Bishopville,5059,Valid,Aubrite,6000,Fell,01/01/1843 12:00:00 AM,34.166670,-80.283330,"(34.16667, -80.28333)"
Bishunpur,5060,Valid,LL3.15,1039,Fell,01/01/1895 12:00:00 AM,25.383330,82.600000,"(25.38333, 82.6)"
Bjelaja Zerkov,5063,Valid,H6,1850,Fell,01/01/1796 12:00:00 AM,49.783330,30.166670,"(49.78333, 30.16667)"
Bjurböle,5064,Valid,L/LL4,330000,Fell,01/01/1899 12:00:00 AM,60.400000,25.800000,"(60.4, 25.8)"
Black Moshannan Park,5065,Valid,L5,705,Fell,01/01/1941 12:00:00 AM,40.916670,-78.083330,"(40.91667, -78.08333)"
Blackwell,5068,Valid,L5,2381,Fell,01/01/1906 12:00:00 AM,36.833330,-97.333330,"(36.83333, -97.33333)"
Blanket,5071,Valid,L6,5100,Fell,01/01/1909 12:00:00 AM,31.833330,-98.833330,"(31.83333, -98.83333)"
Blansko,5072,Valid,H6,470,Fell,01/01/1833 12:00:00 AM,49.366670,16.633330,"(49.36667, 16.63333)"
Bloomington,5076,Valid,LL6,67.8,Fell,01/01/1938 12:00:00 AM,40.480000,-89.004170,"(40.48, -89.00417)"
Bo Xian,5090,Valid,LL3.9,7500,Fell,01/01/1977 12:00:00 AM,33.833330,115.833330,"(33.83333, 115.83333)"
Bocas,5093,Valid,L6,56,Fell,01/01/1804 12:00:00 AM,23.000000,-102.000000,"(23.0, -102.0)"
Bogou,5097,Valid,"Iron, IAB-MG",8800,Fell,01/01/1962 12:00:00 AM,12.500000,0.700000,"(12.5, 0.7)"
Boguslavka,5098,Valid,"Iron, IIAB",256000,Fell,01/01/1916 12:00:00 AM,44.550000,131.633330,"(44.55, 131.63333)"
Borgo San Donino,5110,Valid,LL6,1676,Fell,01/01/1808 12:00:00 AM,44.866670,10.050000,"(44.86667, 10.05)"
Bori,5111,Valid,L6,8600,Fell,01/01/1894 12:00:00 AM,21.950000,78.033330,"(21.95, 78.03333)"
Boriskino,5112,Valid,CM2,1342,Fell,01/01/1930 12:00:00 AM,54.233330,52.483330,"(54.23333, 52.48333)"
Borkut,5113,Valid,L5,7000,Fell,01/01/1852 12:00:00 AM,48.150000,24.283330,"(48.15, 24.28333)"
Borodino,5114,Valid,H5,500,Fell,01/01/1812 12:00:00 AM,55.466670,35.866670,"(55.46667, 35.86667)"
Botschetschki,5117,Valid,L4,614,Fell,01/01/1823 12:00:00 AM,51.333330,33.883330,"(51.33333, 33.88333)"
Boumdeid (2003),57168,Valid,L6,190,Fell,01/01/2003 12:00:00 AM,17.710670,-11.371500,"(17.71067, -11.3715)"
Boumdeid (2011),57167,Valid,L6,3599,Fell,01/01/2011 12:00:00 AM,17.174930,-11.341330,"(17.17493, -11.34133)"
Bovedy,5121,Valid,L3,5460,Fell,01/01/1969 12:00:00 AM,54.566670,-6.333330,"(54.56667, -6.33333)"
Bradford Woods,5128,Valid,L,762,Fell,01/01/1886 12:00:00 AM,40.500000,-80.083330,"(40.5, -80.08333)"
Braunau,5133,Valid,"Iron, IIAB",39000,Fell,01/01/1847 12:00:00 AM,50.600000,16.300000,"(50.6, 16.3)"
Breitscheid,5134,Valid,H5,1500,Fell,01/01/1956 12:00:00 AM,50.666940,8.183610,"(50.66694, 8.18361)"
Bremervörde,5135,Valid,H/L3.9,7250,Fell,01/01/1855 12:00:00 AM,53.400000,9.100000,"(53.4, 9.1)"
Brient,5140,Valid,Eucrite-pmict,219,Fell,01/01/1933 12:00:00 AM,52.133330,59.316670,"(52.13333, 59.31667)"
Bruderheim,5156,Valid,L6,303000,Fell,01/01/1960 12:00:00 AM,53.900000,-112.883330,"(53.9, -112.88333)"
Bukhara,30448,Valid,CV3,5300,Fell,01/01/2001 12:00:00 AM,39.779780,64.600350,"(39.77978, 64.60035)"
Bulls Run,5163,Valid,Iron?,2250,Fell,01/01/1964 12:00:00 AM,,,
Bunburra Rockhole,48653,Valid,Eucrite,324,Fell,01/01/2007 12:00:00 AM,-31.350000,129.190000,"(-31.35, 129.19)"
Bununu,5165,Valid,Howardite,357,Fell,01/01/1942 12:00:00 AM,10.016670,9.583330,"(10.01667, 9.58333)"
Bur-Gheluai,5169,Valid,H5,120000,Fell,01/01/1919 12:00:00 AM,5.000000,48.000000,"(5.0, 48.0)"
Burnwell,5175,Valid,H4-an,1504,Fell,01/01/1990 12:00:00 AM,37.621940,-82.237220,"(37.62194, -82.23722)"
Bursa,5177,Valid,L6,25000,Fell,01/01/1946 12:00:00 AM,40.200000,29.233330,"(40.2, 29.23333)"
Buschhof,5178,Valid,L6,5000,Fell,01/01/1863 12:00:00 AM,46.450000,25.783330,"(46.45, 25.78333)"
Bustee,5181,Valid,Aubrite,1500,Fell,01/01/1852 12:00:00 AM,26.783330,82.833330,"(26.78333, 82.83333)"
Butsura,5183,Valid,H6,29000,Fell,01/01/1861 12:00:00 AM,27.083330,84.083330,"(27.08333, 84.08333)"
Buzzard Coulee,48654,Valid,H4,41000,Fell,01/01/2008 12:00:00 AM,52.996000,-109.848170,"(52.996, -109.84817)"
Cabezo de Mayo,5185,Valid,L/LL6,25000,Fell,01/01/1870 12:00:00 AM,37.983330,-1.166670,"(37.98333, -1.16667)"
Cabin Creek,5186,Valid,"Iron, IIIAB",48500,Fell,01/01/1886 12:00:00 AM,35.500000,-93.500000,"(35.5, -93.5)"
Cacak,5187,Valid,OC,212,Fell,01/01/1919 12:00:00 AM,43.838890,20.333330,"(43.83889, 20.33333)"
Cali,45976,Valid,H/L4,478,Fell,01/01/2007 12:00:00 AM,3.405000,-76.510000,"(3.405, -76.51)"
Calivo,5200,Valid,Stone-uncl,2400,Fell,01/01/1916 12:00:00 AM,11.750000,122.333330,"(11.75, 122.33333)"
Campos Sales,5249,Valid,L5,23680,Fell,01/01/1991 12:00:00 AM,-7.033330,-40.166670,"(-7.03333, -40.16667)"
Çanakkale,5250,Valid,L6,4000,Fell,01/01/1964 12:00:00 AM,39.800000,26.600000,"(39.8, 26.6)"
Cañellas,5251,Valid,H4,945,Fell,01/01/1861 12:00:00 AM,41.250000,1.666670,"(41.25, 1.66667)"
Cangas de Onis,5252,Valid,H5,34000,Fell,01/01/1866 12:00:00 AM,43.383330,-5.150000,"(43.38333, -5.15)"
Canon City,5253,Valid,H6,1400,Fell,01/01/1973 12:00:00 AM,38.470280,-105.241390,"(38.47028, -105.24139)"
Cape Girardeau,5260,Valid,H6,2300,Fell,01/01/1846 12:00:00 AM,37.266670,-89.583330,"(37.26667, -89.58333)"
Capilla del Monte,5264,Valid,H6,750,Fell,01/01/1934 12:00:00 AM,-30.883330,-64.550000,"(-30.88333, -64.55)"
Carancas,45817,Valid,H4-5,342,Fell,01/01/2007 12:00:00 AM,-16.664440,-69.043890,"(-16.66444, -69.04389)"
Caratash,5265,Valid,LL6,8,Fell,01/01/1902 12:00:00 AM,38.500000,27.000000,"(38.5, 27.0)"
Castalia,5291,Valid,H5,7300,Fell,01/01/1874 12:00:00 AM,36.083330,-78.066670,"(36.08333, -78.06667)"
Castel Berardenga,5292,Valid,Stone-uncl,,Fell,01/01/1791 12:00:00 AM,43.350000,11.500000,"(43.35, 11.5)"
Castine,5293,Valid,L6,94,Fell,01/01/1848 12:00:00 AM,44.383330,-68.750000,"(44.38333, -68.75)"
Castrovillari,5295,Valid,Stone-uncl,15000,Fell,01/01/1583 12:00:00 AM,39.800000,16.200000,"(39.8, 16.2)"
Caswell County,5296,Valid,OC,1360,Fell,01/01/1810 12:00:00 AM,36.500000,-79.250000,"(36.5, -79.25)"
Ceniceros,5306,Valid,L3.7,1025,Fell,01/01/1988 12:00:00 AM,26.466670,-105.233330,"(26.46667, -105.23333)"
Centerville,5307,Valid,H5,45.6,Fell,01/01/1956 12:00:00 AM,43.200000,-96.916670,"(43.2, -96.91667)"
Cereseto,5308,Valid,H5,6460,Fell,01/01/1840 12:00:00 AM,45.083330,8.300000,"(45.08333, 8.3)"
Chadong,5313,Valid,L6,3700,Fell,01/01/1998 12:00:00 AM,28.533330,109.316670,"(28.53333, 109.31667)"
Chail,5314,Valid,H6,0.5,Fell,01/01/1814 12:00:00 AM,25.366670,81.666670,"(25.36667, 81.66667)"
Chainpur,5315,Valid,LL3.4,8200,Fell,01/01/1907 12:00:00 AM,25.850000,83.483330,"(25.85, 83.48333)"
Chajari,5316,Valid,L5,18300,Fell,01/01/1933 12:00:00 AM,-30.783330,-58.050000,"(-30.78333, -58.05)"
Chandakapur,5320,Valid,L5,8800,Fell,01/01/1838 12:00:00 AM,20.266670,76.016670,"(20.26667, 76.01667)"
Chandpur,5321,Valid,L6,1100,Fell,01/01/1885 12:00:00 AM,27.283330,79.050000,"(27.28333, 79.05)"
Changde,5322,Valid,H5,1810,Fell,01/01/1977 12:00:00 AM,29.083330,111.750000,"(29.08333, 111.75)"
Chantonnay,5325,Valid,L6,31500,Fell,01/01/1812 12:00:00 AM,46.683330,1.050000,"(46.68333, 1.05)"
Charlotte,5328,Valid,"Iron, IVA",4300,Fell,01/01/1835 12:00:00 AM,36.166670,-87.333330,"(36.16667, -87.33333)"
Charsonville,5329,Valid,H6,27000,Fell,01/01/1810 12:00:00 AM,47.933330,1.566670,"(47.93333, 1.56667)"
Charwallas,5330,Valid,H6,12000,Fell,01/01/1834 12:00:00 AM,29.483330,75.500000,"(29.48333, 75.5)"
Chassigny,5331,Valid,Martian (chassignite),4000,Fell,01/01/1815 12:00:00 AM,47.716670,5.366670,"(47.71667, 5.36667)"
